id,propertyid,location,subdivision,bldg_description,year_built,sq_ft
1772,130299,4500 N HARVEY PKWY,EDGEMERE TERRACE,Apartment <= 3 Stories,1951,3165
1800,130302,4520 N HARVEY PKWY A-D,EDGEMERE TERRACE,Apartment <= 3 Stories,1952,3168
1807,130303,4600 N HARVEY PKWY,EDGEMERE TERRACE,Apartment <= 3 Stories,1975,3638
2075,132887,1625 NW 39TH ST,PUTNAM HEIGHTS ADD,Apartment <= 3 Stories,1929,2496
3200,133522,1925 NW 42ND ST,WILEMAN 10TH,Apartment <= 3 Stories,1966,4165
4500,133139,3816 N PENNSYLVANIA AVE,CLASSEN PUTNAM HGTS,Apartment <= 3 Stories,1970,4056
6186,137860,1231 NW 30TH ST,MILITARY PARK ADD,Apartment <= 3 Stories,1925,4028
6304,137872,1209 NW 30TH ST,MILITARY PARK ADD,Apartment <= 3 Stories,1920,3960
6319,139799,133 NW 30TH ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1940,4738
6330,139800,129 NW 30TH ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1940,5120
6671,137918,1201 NW 31ST ST,MILITARY PARK ADD,Apartment <= 3 Stories,1931,3124
7029,139870,127 NW 31ST ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1920,4318
7119,139879,3316 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,3702
7133,139880,3320 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,5226
7141,139881,3400 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,6880
7157,139882,3404 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,6880
7161,139883,3408 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5460
7174,139884,3412 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5382
7182,139885,3416 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5440
7188,139886,3420 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1928,5440
7196,139887,3500 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5452
7205,139888,3504 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5070
7216,139889,3508 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,3368
7231,139890,3512 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,2826
7279,176822,4312 N PORTLAND AVE,SPORTSMANS HEIGHTS,Apartment <= 3 Stories,1964,3736
7412,176836,4304 NW 42ND TER,SPORTSMANS HEIGHTS,Apartment <= 3 Stories,1975,11028
7515,138994,2024 NW 26TH ST,WEST LAWN PARK,Apartment <= 3 Stories,1959,3618
7530,138004,1441 NW 32ND ST,MILITARY PARK ADD,Apartment <= 3 Stories,1917,2572
7899,138423,1426 NW 25TH ST,EPWORTH VIEW ADD,Apartment <= 3 Stories,1975,4496
7907,138424,1420 NW 25TH ST,EPWORTH VIEW ADD,Apartment <= 3 Stories,1926,3804
7912,138425,1416 NW 25TH ST,EPWORTH VIEW ADD,Apartment <= 3 Stories,1917,3804
8129,138068,1140 NW 34TH ST,MILITARY PARK ADD,Apartment <= 3 Stories,1920,3978
8506,140145,200 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,4032
8520,140146,2417 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,3518
8541,140148,2409 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1918,2898
8545,140149,201 NW 23RD ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,4672
8562,140150,207 NW 23RD ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1925,3682
8632,140160,308 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1929,4524
8669,140164,324 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1925,4000
8846,140183,428 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,4112
8855,140184,424 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1923,4112
8863,140696,508 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1930,5460
8871,140697,512 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1930,5278
8878,140186,418 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,4838
8886,140187,414 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,5920
8888,140698,514 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1930,2856
9014,140201,428 NW 25TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1929,3048
9029,140202,426 NW 25TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5134
9057,140205,412 NW 25TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1922,5494
9087,140719,515 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,2848
9096,140720,511 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1925,2856
9099,140209,314 NW 25TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1927,5913
9111,140721,505 NW 27TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,5520
9122,140722,2801 N WALKER AVE,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,5712
9122,140722,2801 N WALKER AVE,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,1196
9131,140213,325 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5168
9180,139164,2023 NW 25TH ST,WEST LAWN PARK,Apartment <= 3 Stories,1958,4392
9199,140221,2505 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,4960
9209,140222,2501 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,6400
9250,140226,225 NW 24TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,5712
9269,138596,1201 NW 26TH ST,LAWNDALE ADDITION,Apartment <= 3 Stories,1920,4144
9283,138597,1207 NW 26TH ST,LAWNDALE ADDITION,Apartment <= 3 Stories,1920,3472
9322,138601,1223 NW 26TH ST,LAWNDALE ADDITION,Apartment <= 3 Stories,1964,5762
9500,138209,1232 NW 36TH ST 1,CONTINENTAL PLACE,Apartment <= 3 Stories,1930,3784
9578,140256,2600 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1920,2883
9585,140768,617 NW 28TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,2876
9594,140769,613 NW 28TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,2876
9605,140770,609 NW 28TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,2876
9669,138651,1131 NW 24TH ST,S J YOUNGS SUB ADD,Apartment <= 3 Stories,1920,2452
9759,140784,521 NW 29TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1925,3290
9771,140785,517 NW 29TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1925,3290
9807,191093,3016 NW 30TH ST,INGLESIDE TO OKLA CITY,Apartment <= 3 Stories,1965,2640
9835,140793,708 NW 30TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,5120
9844,140794,714 NW 30TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,5120
9853,140795,718 NW 30TH ST,GUERNSEY PARK PLACE,Apartment <= 3 Stories,1927,5120
9890,140287,2617 N HUDSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,6800
9890,140287,2617 N HUDSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,6800
9956,140294,425 NW 25TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,4680
10056,140303,420 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1929,4960
10069,140304,416 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,2752
10177,140315,421 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,2772
10186,140316,425 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,4995
10196,140317,429 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,2620
10204,140318,433 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,2620
10214,140319,437 NW 26TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5040
10226,140320,2700 N WALKER AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1924,5600
10252,140323,436 NW 27TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5520
10652,140363,2813 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1988,2651
11024,140402,440 NW 28TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1925,2206
11138,150755,108 NW 15TH ST,FAYS ADDITION,Apartment <= 3 Stories,1920,4172
11145,140418,421 NW 28TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5840
11173,140421,433 NW 28TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,5840
11196,140423,441 NW 28TH ST,JEFFERSON PARK ADD,Apartment <= 3 Stories,1927,4960
11395,151044,915 NW 13TH ST,KINGS ADDITION,Apartment <= 3 Stories,1907,2046
11472,140457,3019 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1926,4104
11486,140459,3011 N ROBINSON AVE,JEFFERSON PARK ADD,Apartment <= 3 Stories,1928,1680
11594,151081,909 NW 12TH ST,CLASSENS MARQUETTE,Apartment <= 3 Stories,1920,7740
11717,151100,1026 NW 12TH ST,CLASSENS MARQUETTE,Apartment <= 3 Stories,1910,2260
11807,140501,3020 N ROBINSON AVE,JEFFERSON PARK 2ND,Apartment <= 3 Stories,1928,5120
11814,140502,3016 N ROBINSON AVE,JEFFERSON PARK 2ND,Apartment <= 3 Stories,1928,5120
12064,140533,2804 N ROBINSON AVE,JEFFERSON PARK 2ND,Apartment <= 3 Stories,1920,5120
12069,140534,2800 N ROBINSON AVE,JEFFERSON PARK 2ND,Apartment <= 3 Stories,1920,4068
12709,159682,407 NW 9TH ST,EDWARDS BLVD ADD,Apartment <= 3 Stories,1950,4224
12917,160053,617 W CALIFORNIA AVE,MAIN STREET ADDITION,Apartment <= 3 Stories,1980,2994
13412,139538,1800 NW 32ND ST,MILITARY PARK ADD,Apartment <= 3 Stories,1930,5454
13488,190825,2934 NW 32ND ST,RAVENSWOOD ADDITION,Apartment <= 3 Stories,1955,5716
14418,150107,135 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1922,3524
14456,150111,117 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1925,3322
14528,150120,120 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1968,4800
14547,150122,126 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1924,2944
14621,150131,200 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1922,4100
15661,150266,425 NW 22ND ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1920,3536
15667,150267,417 NW 22ND ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1920,4696
15691,150271,401 NW 22ND ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1920,3593
15947,150321,125 NW 20TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1915,3648
15951,150322,121 NW 20TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1915,3744
15994,154217,2312 NW 21ST ST,AURORA ADDITION,Apartment <= 3 Stories,1929,1600
15998,154219,2328 NW 21ST ST,AURORA ADDITION,Apartment <= 3 Stories,1930,3526
16188,150380,219 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1922,4744
16204,150384,201 NW 17TH ST,WINANS HIGHLAND TERR,Apartment <= 3 Stories,1920,4182
16301,150410,327 NW 22ND ST,WINANS SECOND ADD,Apartment <= 3 Stories,1920,5360
16466,154339,2401 NW 18TH ST,AURORA ADDITION,Apartment <= 3 Stories,1932,1613
16508,150460,308 NW 21ST ST,WINANS SECOND ADD,Apartment <= 3 Stories,1924,4484
16552,158914,1741 NW 9TH ST,BELL VERN ADDITION,Apartment <= 3 Stories,1930,5490
16716,154402,2305 NW 16TH ST,AURORA ADDITION,Apartment <= 3 Stories,1927,5516
17043,159034,1833 NW 7TH ST,BELL VERN ADDITION,Apartment <= 3 Stories,1944,2816
17103,154502,2200 NW 22ND ST,LAS VEGAS ADDITION,Apartment <= 3 Stories,1972,3148
17566,191255,2912 NW 28TH ST,INGLESIDE TO OKLA CITY,Apartment <= 3 Stories,1941,4425
18308,191405,3013 NW 27TH ST,INGLESIDE TO OKLA CITY,Apartment <= 3 Stories,1973,4586
18647,151806,1629 NW 22ND ST,UNIVERSITY ADDITION,Apartment <= 3 Stories,1926,3406
19022,151880,1204 NW 22ND ST,UNIVERSITY ADDITION,Apartment <= 3 Stories,1933,3952
19028,151881,1200 NW 22ND ST,UNIVERSITY ADDITION,Apartment <= 3 Stories,1932,4560
19130,141250,709 NW 30TH ST,CENTRAL PARK ADDITION,Apartment <= 3 Stories,1929,3290
19136,141251,705 NW 30TH ST,CENTRAL PARK ADDITION,Apartment <= 3 Stories,1929,3290
19140,141252,701 NW 30TH ST,CENTRAL PARK ADDITION,Apartment <= 3 Stories,1929,3290
19151,141254,613 NW 30TH ST,CENTRAL PARK ADDITION,Apartment <= 3 Stories,1929,5088
19503,152269,1304 NW 16TH ST,SUMMERS PLACE ADD,Apartment <= 3 Stories,1915,2537
19509,152270,1308 NW 16TH ST,SUMMERS PLACE ADD,Apartment <= 3 Stories,1934,3198
19517,152272,1316 NW 16TH ST,SUMMERS PLACE ADD,Apartment <= 3 Stories,1915,2241
19529,152274,1615 N ELLISON AVE,SUMMERS PLACE ADD,Apartment <= 3 Stories,1935,3416
19529,152274,1615 N ELLISON AVE,SUMMERS PLACE ADD,Apartment <= 3 Stories,1935,2520
19617,151999,1304 NW 17TH ST,UNIVERSITY ADDITION,Apartment <= 3 Stories,1950,2726
19630,152295,1309 NW 14TH ST,SUMMERS PLACE ADD,Apartment <= 3 Stories,1940,7395
19834,193066,3114 NW 12TH ST,SHARTEL BOULEVARD,Apartment <= 3 Stories,1947,2682
19914,193146,2936 NW 12TH ST,SHARTEL BOULEVARD,Apartment <= 3 Stories,1938,3208
19915,193147,2948 NW 12TH ST,SHARTEL BOULEVARD,Apartment <= 3 Stories,1947,3088
20255,141400,3510 N FRANCIS,ROSS MANN ADDITION,Apartment <= 3 Stories,1920,3196
20328,152058,1401 NW 17TH ST,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1935,5676
20336,152059,1405 NW 17TH ST,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1928,4550
20339,152060,1409 NW 17TH ST 1/2,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1928,4550
20346,152061,1413 NW 17TH ST 1/2,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1928,4550
20348,152062,1419 NW 17TH ST 1/2,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1928,4550
20412,152076,1509 NW 17TH ST 1/2,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1927,3738
20420,152077,1507 NW 17TH ST,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1927,3738
20425,152078,1503 NW 17TH ST 1/2,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1927,3738
20516,152098,1912 N BRAUER AVE,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1929,4326
20520,152099,1908 N BRAUER AVE,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1929,4080
20529,152100,1909 N DOUGLAS BLVD,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1929,5616
20533,152101,1915 N DOUGLAS BLVD,NICHOLS UNIV PLACE,Apartment <= 3 Stories,1929,4960
20990,154887,2126 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1970,3228
21048,152207,1223 NW 18TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1920,5406
21053,152208,1219 NW 18TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1920,4844
21061,152209,1215 NW 18TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1920,4844
21103,152220,1227 NW 17TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1922,3692
21107,152221,1221 NW 17TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1922,3692
21109,152222,1217 NW 17TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1922,4742
21122,152224,1209 NW 17TH ST,UNIVERSITY PLACE ADD,Apartment <= 3 Stories,1920,4742
21192,155529,2501 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1928,3420
21202,155530,1213 N VILLA AVE,MILLERS BOULEVARD,Apartment <= 3 Stories,1940,2496
21207,155531,1213 N VILLA AVE,MILLERS BOULEVARD,Apartment <= 3 Stories,1940,2088
21212,155532,2504 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1926,2808
21235,155537,2524 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1926,2856
21240,155538,2528 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1926,3626
21247,154938,2350 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1940,3416
21342,154957,2436 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1926,3308
21397,155569,2600 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1925,3019
21519,154994,2321 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1932,3496
21521,154995,2325 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1932,3496
21594,155013,2201 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1938,3236
21611,155619,2609 NW 12TH ST,MILLERS BOULEVARD,Apartment <= 3 Stories,1926,3444
21621,155020,2229 NW 12TH ST,YOUNGS ENGLEWOOD ADD,Apartment <= 3 Stories,1930,3932
