id,propertyid,location,subdivision,bldg_description,year_built,sq_ft,lon,lat
1772,130299,4500 N HARVEY PKWY,EDGEMERE TERRACE,Apartment <= 3 Stories,1951,3165,-97.51858,35.516303
1800,130302,4520 N HARVEY PKWY A-D,EDGEMERE TERRACE,Apartment <= 3 Stories,1952,3168,-97.518724,35.516877
1807,130303,4600 N HARVEY PKWY,EDGEMERE TERRACE,Apartment <= 3 Stories,1975,3638,-97.518771,35.517074
2075,132887,1625 NW 39TH ST,PUTNAM HEIGHTS ADD,Apartment <= 3 Stories,1929,2496,-97.53976,35.511618
3200,133522,1925 NW 42ND ST,WILEMAN 10TH,Apartment <= 3 Stories,1966,4165,-97.544897,35.514711
4500,133139,3816 N PENNSYLVANIA AVE,CLASSEN PUTNAM HGTS,Apartment <= 3 Stories,1970,4056,-97.547352,35.509447
6186,137860,1231 NW 30TH ST,MILITARY PARK ADD,Apartment <= 3 Stories,1925,4028,-97.533504,35.500702
6304,137872,1209 NW 30TH ST,MILITARY PARK ADD,Apartment <= 3 Stories,1920,3960,-97.532612,35.500737
6319,139799,133 NW 30TH ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1940,4738,-97.515354,35.500811
6330,139800,129 NW 30TH ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1940,5120,-97.515191,35.500811
6671,137918,1201 NW 31ST ST,MILITARY PARK ADD,Apartment <= 3 Stories,1931,3124,-97.532327,35.501985
7029,139870,127 NW 31ST ST,EDGEMERE PARK ADD,Apartment <= 3 Stories,1920,4318,-97.515113,35.501704
7119,139879,3316 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,3702,-97.515155,35.503137
7133,139880,3320 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,5226,-97.515127,35.50328
7141,139881,3400 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1935,6880,-97.515109,35.503417
7157,139882,3404 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,6880,-97.5151,35.503577
7161,139883,3408 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5460,-97.515104,35.503728
7174,139884,3412 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5382,-97.515083,35.503874
7182,139885,3416 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1930,5440,-97.515065,35.504
7188,139886,3420 N ROBINSON AVE,EDGEMERE PARK ADD,Apartment <= 3 Stories,1928,5440,-97.515027,35.504163
